"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
224889,1555210,"2015-02-13T00:00:00",2015,"Australia","International Committee of the Red Cross",16526,0,"Commitment",0,NA,NA,"Central African Republic 2015"
224836,2e+06,"2015-02-13T00:00:00",2015,"United States of America","United Nations Children's Fund",16526,0,"Commitment",0,NA,NA,"Central African Republic 2015"
224059,12941432,"2015-01-01T00:00:00",2015,"Carry-over (donors not specified)","Common Humanitarian Fund",16526,1071,"Paid contribution",0,"CAR-15/SNYS/78008/R/7622","Central African Republic 2015","Central African Republic 2015"
224792,680520,"2015-02-06T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16526,0,"Commitment",0,NA,NA,"Central African Republic 2015"
223798,11205,"2015-01-20T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16526,0,"Commitment",0,NA,NA,"Central African Republic 2015"
224929,326087,"2015-02-17T00:00:00",2015,"Switzerland","Office for the Coordination of Humanitarian Affairs",16526,1071,"Pledge",0,"CAR-15/CSS/77814/R/119","Central African Republic 2015","Central African Republic 2015"
223897,1e+06,"2015-01-20T00:00:00",2015,"United States of America","Office for the Coordination of Humanitarian Affairs",16526,1071,"Pledge",0,"CAR-15/CSS/77814/R/119","Central African Republic 2015","Central African Republic 2015"
223797,2e+06,"2015-01-20T00:00:00",2015,"United States of America","World Food Programme",16526,0,"Commitment",0,NA,NA,"Central African Republic 2015"
224060,2e+05,"2014-12-12T00:00:00",2015,"Common Humanitarian Fund","INTERSOS",16526,0,"Paid contribution",1,NA,NA,"Central African Republic 2015"
224062,3e+05,"2014-12-12T00:00:00",2015,"Common Humanitarian Fund","Agency for Technical Cooperation and Development",16526,0,"Paid contribution",1,NA,NA,"Central African Republic 2015"
224064,300001,"2014-12-12T00:00:00",2015,"Common Humanitarian Fund","Première Urgence - Aide Médicale Internationale",16526,0,"Paid contribution",1,NA,NA,"Central African Republic 2015"
224014,17654477,"2014-11-18T00:00:00",2015,"European Commission's Humanitarian Aid and Civil Protection Department","UN Agencies, NGOs and/or Red Cross (details not yet provided)",16526,0,"Commitment",0,NA,NA,"Central African Republic 2015"
224083,843496,"2015-01-22T00:00:00",2015,"Common Humanitarian Fund","Office for the Coordination of Humanitarian Affairs",16526,0,"Paid contribution",1,NA,NA,"Central African Republic 2015"
224071,50000,"2014-11-02T00:00:00",2015,"Common Humanitarian Fund","Association Centrafricaine pour le Développement Economique et Social",16526,0,"Paid contribution",1,NA,NA,"Central African Republic 2015"
224075,50000,"2014-11-11T00:00:00",2015,"Common Humanitarian Fund","Association des Cadres Musulmans de Centrafrique",16526,0,"Paid contribution",1,NA,NA,"Central African Republic 2015"
224114,611309,"2014-06-27T00:00:00",2015,"Sweden","International Rescue Committee",16526,0,"Commitment",0,NA,NA,"Central African Republic 2015"
