"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
224993,183825,"2015-02-08T00:00:00",2015,"United States of America","Various Recipients (details not yet provided)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224329,121521,"2015-01-27T00:00:00",2015,"Sweden","Swedish Mission Council",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224344,45317,"2015-01-21T00:00:00",2015,"United Kingdom ","Various Recipients (details not yet provided)",16551,0,"Pledge",0,NA,NA,"Malawi Floods 2015"
224345,181269,"2015-01-21T00:00:00",2015,"United Kingdom ","United Nations Children's Fund",16551,0,"Pledge",0,NA,NA,"Malawi Floods 2015"
224346,75000,"2015-02-02T00:00:00",2015,"Iceland","United Nations Children's Fund",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224533,491400,"2015-01-28T00:00:00",2015,"Denmark","Danish Red Cross",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224534,248775,"2015-02-06T00:00:00",2015,"Central Emergency Response Fund","United Nations Children's Fund",16551,0,"Commitment",1,NA,NA,"Malawi Floods 2015"
224559,800020,"2015-02-09T00:00:00",2015,"Central Emergency Response Fund","World Food Programme",16551,0,"Commitment",1,NA,NA,"Malawi Floods 2015"
224561,3073239,"2015-02-09T00:00:00",2015,"Central Emergency Response Fund","World Food Programme",16551,0,"Commitment",1,NA,NA,"Malawi Floods 2015"
224540,340966,"2015-02-09T00:00:00",2015,"Private (individuals & organisations)","Plan International",16551,0,"Paid contribution",0,NA,NA,"Malawi Floods 2015"
224337,152253,"2015-01-19T00:00:00",2015,"Denmark","ACT Alliance / DanChurchAid",16551,0,"Paid contribution",0,NA,NA,"Malawi Floods 2015"
224343,32000,"2015-01-15T00:00:00",2015,"Private (individuals & organisations)","Various Recipients (details not yet provided)",16551,0,"Paid contribution",0,NA,NA,"Malawi Floods 2015"
224347,1e+06,"2015-02-02T00:00:00",2015,"Canada","International Federation of Red Cross and Red Crescent Societies",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224662,570760,"2015-02-11T00:00:00",2015,"Central Emergency Response Fund","United Nations High Commissioner for Refugees",16551,0,"Commitment",1,NA,NA,"Malawi Floods 2015"
224664,866694,"2015-02-11T00:00:00",2015,"Central Emergency Response Fund","International Organization for Migration",16551,0,"Commitment",1,NA,NA,"Malawi Floods 2015"
224786,54928,"2015-02-11T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224787,303804,"2015-02-12T00:00:00",2015,"Sweden","Swedish Red Cross ",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224788,55292,"2015-02-05T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224789,19200,"2015-02-02T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224791,61368,"2015-01-30T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224490,1001909,"2015-02-04T00:00:00",2015,"Central Emergency Response Fund","Food & Agriculture Organization of the United Nations",16551,0,"Commitment",1,NA,NA,"Malawi Floods 2015"
224630,254712,"2015-01-29T00:00:00",2015,"Sweden","Plan Sweden",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224649,226040,"2015-02-03T00:00:00",2015,"Germany","Humedica",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224556,4e+05,"2015-02-06T00:00:00",2015,"Central Emergency Response Fund","United Nations Children's Fund",16551,0,"Commitment",1,NA,NA,"Malawi Floods 2015"
224569,1700680,"2015-02-03T00:00:00",2015,"European Commission's Humanitarian Aid and Civil Protection Department","UN Agencies, NGOs and/or Red Cross (details not yet provided)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
223926,550000,"2015-01-16T00:00:00",2015,"Bill and Melinda Gates Foundation","World Vision International",16551,0,"Paid contribution",0,NA,NA,"Malawi Floods 2015"
224110,9552,"2015-01-15T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224327,304507,"2015-01-23T00:00:00",2015,"Denmark","Médecins sans Frontières",16551,0,"Paid contribution",0,NA,NA,"Malawi Floods 2015"
224328,170068,"2015-01-23T00:00:00",2015,"Italy","International Federation of Red Cross and Red Crescent Societies",16551,0,"Paid contribution",0,NA,NA,"Malawi Floods 2015"
224339,50000,"2014-01-15T00:00:00",2015,"Allocation of unearmarked funds by OCHA","Various Recipients (details not yet provided)",16551,0,"Paid contribution",0,NA,NA,"Malawi Floods 2015"
224577,61125,"2015-02-05T00:00:00",2015,"Czech Republic","International Federation of Red Cross and Red Crescent Societies",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
224105,59857,"2015-01-16T00:00:00",2015,"Sweden","Swedish Civil Contingencies Agency (MSB)",16551,0,"Commitment",0,NA,NA,"Malawi Floods 2015"
